date,country,daily_hits
20180112,EC,2
20180110,EC,1
20180109,EC,2
20180108,EC,2
20180107,EC,3
20180106,EC,2
20180105,EC,1
20180102,EC,1
20180101,EC,1
20180112,EE,6
20180111,EE,7
20180110,EE,2
20180109,EE,9
20180108,EE,4
20180107,EE,4
20180106,EE,2
20180105,EE,3
20180104,EE,1
20180103,EE,1
20180102,EE,2
20180101,EE,2
20180112,EG,8
20180111,EG,4
20180110,EG,4
20180109,EG,9
20180108,EG,5
20180107,EG,9
20180106,EG,5
20180105,EG,5
20180104,EG,9
20180103,EG,5
20180102,EG,7
20180101,EG,2
20180112,ES,68
20180111,ES,59
20180110,ES,47
20180109,ES,69
20180108,ES,56
20180107,ES,74
20180106,ES,91
20180105,ES,53
20180104,ES,90
20180103,ES,173
20180102,ES,41
20180101,ES,37
20180109,ET,1
20180107,ET,1
20180106,ET,1
20180112,FI,18
20180111,FI,11
20180110,FI,10
20180109,FI,11
20180108,FI,12
20180107,FI,12
20180106,FI,9
20180105,FI,14
20180104,FI,12
20180103,FI,9
20180102,FI,7
20180101,FI,2
20180105,FJ,1
20180112,FR,65
20180111,FR,61
20180110,FR,52
20180109,FR,34
20180108,FR,56
20180107,FR,40
20180106,FR,74
20180105,FR,88
20180104,FR,81
20180103,FR,65
20180102,FR,69
20180101,FR,57
20180112,GB,130
20180111,GB,145
20180110,GB,146
20180109,GB,118
20180108,GB,126
20180107,GB,115
20180106,GB,121
20180105,GB,128
20180104,GB,128
20180103,GB,111
20180102,GB,117
20180101,GB,97
20180112,GE,1
20180111,GE,1
20180110,GE,1
20180109,GE,2
20180108,GE,2
20180107,GE,1
20180106,GE,1
20180104,GE,1
20180101,GF,1
20180112,GH,2
20180111,GH,1
20180110,GH,1
20180104,GH,1
20180110,GI,1
20180105,GI,1
20180111,GL,1
20180105,GN,1
20180112,GP,2
20180108,GP,1
20180107,GP,1
20180106,GP,1
20180105,GP,2
20180103,GP,1
20180101,GP,1
20180112,GR,1
20180111,GR,2
20180110,GR,3
20180109,GR,2
20180108,GR,1
20180107,GR,2
20180106,GR,4
20180105,GR,4
20180104,GR,5
20180103,GR,2
20180102,GR,3
20180101,GR,5
20180112,GT,1
20180110,GT,2
20180107,GT,2
20180106,GT,1
20180105,GT,2
20180104,GT,1
20180103,GT,1
20180102,GT,2
20180101,GT,1
20180106,GU,1
20180112,GY,1
20180112,HK,7
20180111,HK,13
20180110,HK,10
20180109,HK,10
20180108,HK,15
20180107,HK,9
20180106,HK,16
20180105,HK,12
20180104,HK,24
20180103,HK,13
20180102,HK,14
20180101,HK,34
20180112,HN,1
20180106,HN,1
20180104,HN,1
20180112,HR,3
20180111,HR,2
20180110,HR,5
20180108,HR,5
20180107,HR,2
20180106,HR,6
20180105,HR,3
20180104,HR,2
20180103,HR,4
20180102,HR,3
20180101,HR,1
20180112,HU,30
20180111,HU,40
20180110,HU,36
20180109,HU,31
20180108,HU,32
20180107,HU,34
20180106,HU,36
20180105,HU,52
20180104,HU,36
20180103,HU,37
20180102,HU,39
20180101,HU,23
20180112,ID,12
20180111,ID,7
20180110,ID,14
20180109,ID,7
20180108,ID,10
20180107,ID,4
20180106,ID,6
20180105,ID,6
20180104,ID,12
20180103,ID,9
20180102,ID,6
20180101,ID,8
20180112,IE,13
20180111,IE,13
20180110,IE,14
20180109,IE,5
20180108,IE,13
20180107,IE,12
20180106,IE,10
20180105,IE,9
20180104,IE,10
20180103,IE,12
20180102,IE,11
20180101,IE,6
20180112,IL,14
20180111,IL,7
20180110,IL,13
20180109,IL,18
20180108,IL,7
20180107,IL,10
20180106,IL,9
20180105,IL,10
20180104,IL,9
20180103,IL,5
20180102,IL,2
20180101,IL,12
20180112,IN,29
20180111,IN,48
20180110,IN,34
20180109,IN,35
20180108,IN,32
20180107,IN,37
20180106,IN,31
20180105,IN,36
20180104,IN,41
20180103,IN,32
20180102,IN,36
20180101,IN,19
20180110,IQ,1
20180109,IQ,2
20180107,IQ,3
20180106,IQ,1
20180105,IQ,1
20180112,IR,13
20180111,IR,16
20180110,IR,17
20180109,IR,20
20180108,IR,18
20180107,IR,21
20180106,IR,12
20180105,IR,15
20180104,IR,16
20180103,IR,19
20180102,IR,17
20180101,IR,20
20180112,IS,2
20180111,IS,1
20180108,IS,1
20180107,IS,1
20180106,IS,1
20180105,IS,8
20180104,IS,1
20180103,IS,1
20180102,IS,1
20180112,IT,53
20180111,IT,44
20180110,IT,38
20180109,IT,39
20180108,IT,58
20180107,IT,46
20180106,IT,50
20180105,IT,44
20180104,IT,45
20180103,IT,38
20180102,IT,49
20180101,IT,37
20180102,JE,1
20180112,JM,1
20180111,JM,5
20180110,JM,1
20180109,JM,1
20180108,JM,1
20180107,JM,1
20180106,JM,1
20180102,JM,1
20180101,JM,1
20180112,JO,2
20180111,JO,1
20180110,JO,2
20180109,JO,5
20180108,JO,2
20180107,JO,3
20180106,JO,1
20180105,JO,2
20180104,JO,4
20180103,JO,2
20180101,JO,2
20180112,JP,128
20180111,JP,110
20180110,JP,136
20180109,JP,102
20180108,JP,126
20180107,JP,124
20180106,JP,122
20180105,JP,126
20180104,JP,122
20180103,JP,124
20180102,JP,108
20180101,JP,92
20180109,KE,2
20180107,KE,1
20180105,KE,2
20180104,KE,2
20180103,KE,1
20180102,KE,1
20180110,KG,2
20180109,KG,5
20180108,KG,2
20180107,KG,2
20180106,KG,2
20180105,KG,1
20180104,KG,3
20180103,KG,2
20180102,KG,1
20180101,KG,1
20180112,KH,2
20180111,KH,1
20180110,KH,1
20180109,KH,2
20180107,KH,1
20180106,KH,1
20180104,KH,1
20180103,KH,1
20180102,KH,1
20180112,KR,95
20180111,KR,64
20180110,KR,50
20180109,KR,51
20180108,KR,45
20180107,KR,55
20180106,KR,70
20180105,KR,54
20180104,KR,66
20180103,KR,35
20180102,KR,45
20180101,KR,50
20180111,KW,1
20180107,KW,1
20180106,KW,1
20180104,KW,1
20180112,KY,1
20180112,KZ,18
20180111,KZ,16
20180110,KZ,11
20180109,KZ,14
20180108,KZ,8
20180107,KZ,14
20180106,KZ,6
20180105,KZ,14
20180104,KZ,15
20180103,KZ,11
20180102,KZ,5
20180101,KZ,5
20180111,LA,1
20180110,LA,2
20180104,LA,2
20180103,LA,1
20180101,LA,1
20180112,LB,3
20180111,LB,1
20180110,LB,3
20180108,LB,1
20180106,LB,3
20180104,LB,2
20180103,LB,2
20180102,LB,1
20180112,LK,1
20180111,LK,2
20180110,LK,1
20180109,LK,3
20180108,LK,3
20180107,LK,1
20180105,LK,1
20180104,LK,1
20180102,LK,1
20180112,LT,3
20180111,LT,4
20180110,LT,5
20180109,LT,1
20180108,LT,2
20180107,LT,6
20180106,LT,6
20180105,LT,3
20180104,LT,5
20180103,LT,2
20180102,LT,3
20180101,LT,4
20180111,LU,1
20180107,LU,2
20180105,LU,1
20180112,LV,2
20180110,LV,4
20180109,LV,2
20180108,LV,4
